covalent,vdw_clash,vdw,proximal,hbond,weak_hbond,xbond,ionic,metal_complex,aromatic,hydrophobic,carbonyl,ligand
0,15,34,6333,1,7,0,0,0,2,26,0,ZINC19279576_009
0,24,46,7270,1,12,0,0,0,2,20,0,ZINC23127498_007
0,28,48,6609,0,11,0,0,1,12,32,0,ZINC36736000_000
0,37,51,8091,3,8,0,0,0,14,23,0,ZINC15760214_004
0,33,46,7271,3,11,0,0,0,8,45,0,ZINC66094244_002
0,26,56,6655,1,11,0,1,0,5,40,0,ZINC63103931_001
0,19,45,6915,0,10,0,0,1,0,20,0,ZINC42592990_007
0,20,55,6764,3,5,0,4,0,25,43,0,ZINC62493380_007
0,32,52,7118,3,13,0,17,1,0,28,0,ZINC49575729_009
0,33,53,6801,1,9,0,0,1,12,51,0,ZINC48569048_004
0,34,49,6731,6,9,0,0,0,13,23,1,ZINC56370466_004
0,28,43,7957,2,13,0,0,0,6,36,0,ZINC66783843_001
0,21,53,7687,1,7,0,0,0,2,23,1,ZINC40515848_001
0,24,31,6252,1,9,0,0,1,6,29,0,ZINC37000855_005
0,19,50,7656,3,5,0,0,0,24,24,0,ZINC66906309_000
0,37,56,7122,2,15,0,0,0,7,50,0,ZINC35353962_000
0,32,55,6186,1,5,0,0,0,23,58,0,ZINC05090120_002
0,35,60,8534,2,17,0,0,0,13,34,0,ZINC16187158_000
0,31,48,8551,0,8,0,0,0,13,43,0,ZINC67195394_007
0,20,38,6756,0,9,0,0,1,8,31,0,ZINC49128749_005
0,16,43,6381,2,8,0,5,0,0,32,0,ZINC40479566_006
0,25,43,7120,2,7,0,0,0,11,23,0,ZINC67276346_006
0,25,47,8383,0,8,0,0,1,17,40,0,ZINC03225442_006
0,23,36,6789,4,16,0,0,0,0,20,0,ZINC44786228_008
0,31,66,7517,1,18,0,3,1,0,16,0,ZINC64635081_002
0,32,60,7416,0,8,0,3,2,12,51,1,ZINC06856077_000
0,26,52,8502,1,16,0,0,0,0,28,0,ZINC22695923_002
0,7,48,6332,3,8,0,0,0,0,27,1,ZINC49117773_005
0,25,42,6942,1,5,0,0,1,2,39,0,ZINC64427851_005
0,35,58,8852,1,10,0,1,0,7,54,0,ZINC59365743_001
0,24,48,7465,1,9,0,0,0,14,40,0,ZINC67466072_008
0,14,37,5985,3,7,0,0,0,6,43,0,ZINC44849544_009
0,24,64,8795,1,12,0,0,1,11,25,0,ZINC39252395_000
0,33,40,8058,3,9,0,0,2,9,38,0,ZINC04477459_008
0,24,39,6843,1,6,0,0,0,8,51,0,ZINC49120922_006
0,24,47,5985,2,8,0,0,1,0,22,0,ZINC37692425_002
0,14,38,6161,1,6,0,0,1,0,28,0,ZINC66119649_003
0,25,44,6439,0,10,0,0,2,8,35,0,ZINC48687661_000
0,21,41,5737,1,6,0,0,0,0,12,0,ZINC37481640_007
0,31,45,6813,5,9,0,0,0,7,50,0,ZINC54163463_008
0,27,48,6748,3,9,0,0,1,14,30,1,ZINC67315078_008
0,32,46,6924,2,6,0,8,1,13,53,0,ZINC41807856_008
0,23,46,7790,0,11,0,0,1,3,23,0,ZINC63838810_007
0,29,45,8445,0,10,0,0,2,18,25,0,ZINC60343624_007
0,20,37,7366,1,8,0,0,1,0,15,0,ZINC63868433_005
0,42,52,6784,3,20,0,0,1,9,32,0,ZINC03887918_002
0,16,44,6327,2,7,0,0,1,0,21,0,ZINC62526627_005
0,29,52,7084,1,8,0,0,0,4,34,0,ZINC08253753_001
0,25,46,6947,1,6,0,0,0,0,21,0,ZINC45376918_009
0,20,48,7009,0,12,0,0,1,0,20,0,ZINC49290517_003
0,18,51,8268,3,8,0,0,0,3,40,0,ZINC07873340_004
0,25,44,6790,0,6,0,0,0,10,40,0,ZINC41812976_004
0,11,45,6537,1,6,0,0,1,0,19,0,ZINC60400591_006
0,53,64,8137,3,18,0,0,1,12,45,0,ZINC31900805_008
0,22,45,6414,1,6,0,0,0,1,14,0,ZINC36198513_005
0,18,36,5765,2,8,0,3,0,0,27,0,ZINC45465064_002
0,28,53,7034,1,8,0,3,0,16,47,0,ZINC37972473_006
0,25,53,6985,2,10,0,0,1,8,31,0,ZINC42499932_009
0,17,36,6281,2,10,0,3,0,0,17,1,ZINC46857508_004
0,19,46,6944,1,11,0,0,0,0,0,0,ZINC37799072_001
0,49,75,9948,4,21,0,0,0,0,34,0,ZINC01151923_007
0,19,54,7230,1,8,0,8,0,8,25,2,ZINC22466361_008
0,16,29,6185,1,5,0,0,1,0,26,0,ZINC48850007_005
0,37,59,9899,2,16,0,0,0,3,28,1,ZINC32754410_004
0,24,47,7639,0,13,0,0,0,5,33,0,ZINC49410972_005
0,29,52,6970,0,10,0,3,0,0,30,0,ZINC50251464_006
0,29,39,6471,3,7,0,0,1,11,20,0,ZINC41389562_000
0,22,26,6461,0,13,0,0,1,0,17,0,ZINC63190293_000
0,21,47,7475,0,11,0,0,0,0,17,0,ZINC64253687_006
0,25,39,6499,0,5,0,17,1,8,36,0,ZINC62716843_003
0,23,58,8871,0,8,0,0,1,17,46,0,ZINC28622600_001
0,22,53,5903,1,12,0,0,0,6,13,0,ZINC37823374_004
0,20,59,7752,0,14,0,0,1,0,31,0,ZINC58440494_000
0,18,58,8509,1,14,0,0,0,7,26,0,ZINC41848240_005
0,27,41,6659,4,5,0,6,1,12,29,0,ZINC51150847_002
1,15,36,5888,1,8,0,0,1,0,27,0,ZINC43418755_005
0,16,57,7413,1,5,0,0,0,6,38,1,ZINC39976722_000
0,28,49,7713,1,14,0,4,0,1,35,0,ZINC14156472_009
0,15,52,6576,1,8,0,0,0,0,30,0,ZINC50372389_002
0,32,46,7542,0,14,0,0,0,10,38,0,ZINC05633506_001
0,18,34,5408,1,2,0,1,0,6,17,0,ZINC40573654_002
0,25,45,8031,1,6,0,0,0,11,40,0,ZINC44870014_005
0,27,52,8254,3,10,0,0,0,18,23,0,ZINC20661153_003
0,21,54,6749,4,8,0,3,0,15,24,0,ZINC54489363_004
0,23,51,6649,1,2,0,0,1,4,38,0,ZINC47970360_007
0,24,43,6655,1,3,0,0,1,8,33,0,ZINC00176942_007
0,29,34,6309,0,4,0,0,1,9,15,1,ZINC35059148_004
0,25,43,7092,1,7,0,3,1,16,17,0,ZINC66875967_001
0,37,55,9075,1,16,0,0,1,1,45,0,ZINC08395154_009
0,20,42,6091,1,11,0,2,0,0,30,0,ZINC62768871_002
0,28,54,7378,2,12,0,0,0,22,28,0,ZINC23506274_003
0,35,69,8542,4,17,0,4,1,8,22,1,ZINC43137944_006
0,19,42,6316,2,3,0,0,1,0,9,1,ZINC62976762_000
0,28,61,8582,1,15,0,0,0,10,27,0,ZINC39736557_004
0,28,56,7933,0,8,0,0,1,8,33,0,ZINC60415417_001
0,18,61,8130,3,11,0,0,0,20,21,0,ZINC66449404_002
0,24,51,6601,1,9,0,0,0,4,32,0,ZINC06262231_004
1,28,40,7086,0,13,0,0,1,10,43,0,ZINC37622281_004
0,31,48,6507,2,10,0,6,0,5,29,0,ZINC66113706_003
0,35,52,8258,3,14,0,0,0,4,23,1,ZINC11873429_008
1,20,44,6956,1,10,0,1,1,7,41,0,ZINC50962522_003
0,37,44,8928,0,12,0,0,1,22,50,0,ZINC14836490_002
0,31,78,8022,1,16,0,0,2,0,42,0,ZINC67195416_004
0,6,42,6081,0,4,0,0,0,0,24,0,ZINC12359104_002
0,18,47,6626,3,9,0,0,1,4,31,1,ZINC03314374_004
0,14,37,6187,1,5,0,0,0,0,27,0,ZINC52592031_006
0,7,33,5837,1,6,0,0,0,0,39,0,ZINC06685569_007
0,27,59,8978,2,11,0,0,0,10,38,0,ZINC66070801_002
1,45,53,6222,2,5,0,0,1,9,45,0,ZINC54401357_007
0,18,31,5930,0,13,0,5,0,0,23,0,ZINC48839638_005
0,13,44,5413,5,9,0,0,0,0,5,1,ZINC00192456_009
0,17,38,5980,0,11,0,0,0,6,21,0,ZINC58104349_004
0,49,57,8908,1,10,0,0,0,18,53,1,ZINC40783275_009
0,9,35,7239,1,7,0,0,0,0,17,0,ZINC64226824_002
0,30,66,6968,1,15,0,0,0,23,21,0,ZINC35734599_002
0,13,32,7399,0,8,0,0,0,5,37,0,ZINC39974479_008
0,14,38,6439,1,3,0,0,0,5,47,0,ZINC49120922_005
0,35,46,6510,4,13,0,0,1,12,13,3,ZINC55167686_000
0,21,47,7022,2,12,0,0,0,9,18,0,ZINC65371431_006
0,30,42,6090,2,12,0,0,0,14,47,0,ZINC20304205_000
1,28,45,6468,4,9,0,0,1,0,15,3,ZINC39886333_001
0,17,43,5867,2,7,0,1,0,3,21,0,ZINC51720026_001
1,29,42,6400,0,16,0,0,1,0,48,0,ZINC65180299_009
0,26,43,7394,0,10,0,0,1,7,55,0,ZINC67065883_008
0,23,55,7734,3,16,0,0,0,2,49,0,ZINC06801783_007
0,41,58,7236,3,19,0,0,1,9,23,1,ZINC66326103_009
0,18,48,7438,1,8,0,0,0,2,28,0,ZINC08682457_007
0,35,61,8584,0,13,0,0,1,10,24,0,ZINC40072041_004
0,19,37,5970,1,6,0,12,1,12,15,0,ZINC35422843_004
0,13,37,5374,2,4,0,0,1,7,23,0,ZINC50817686_002
0,29,39,6093,1,12,0,0,1,3,20,0,ZINC61884174_009
0,14,37,5974,1,6,0,0,0,2,26,0,ZINC37071926_006
0,27,38,8293,1,12,0,0,0,10,48,0,ZINC21124283_007
0,16,37,4825,0,2,0,12,1,8,17,0,ZINC35432917_008
0,15,40,7770,1,5,0,0,0,3,29,2,ZINC06376914_001
0,31,54,8475,1,8,0,5,1,18,56,0,ZINC08858768_001
0,19,36,5583,1,9,0,3,0,0,35,0,ZINC37940656_006
0,20,41,5203,4,7,0,2,0,0,18,2,ZINC37269224_005
0,24,50,6694,5,7,0,0,0,4,28,0,ZINC48154378_000
0,25,42,6151,1,5,0,3,0,7,31,0,ZINC54468797_009
0,17,30,6239,1,7,0,3,1,0,10,0,ZINC62813188_004
0,41,76,7515,1,17,0,0,1,0,25,3,ZINC65192128_003
0,63,61,10630,2,18,0,0,0,5,84,1,ZINC43553747_004
0,25,52,8115,1,7,0,0,1,0,45,0,ZINC24716277_009
0,25,58,8395,2,8,0,0,0,12,43,0,ZINC63948132_001
0,12,38,6558,1,8,0,0,0,11,42,0,ZINC29755231_000
0,13,41,6643,1,11,0,0,1,5,33,0,ZINC49165965_005
0,34,71,9020,1,22,0,0,1,2,37,1,ZINC18531529_009
0,18,43,7080,1,9,0,0,0,0,30,0,ZINC25094987_006
0,23,47,8789,0,13,0,0,0,8,45,0,ZINC09684839_008
0,15,62,6445,4,9,0,5,0,9,39,0,CHEMBL17889_004
0,44,63,9874,1,15,0,0,1,13,68,0,ZINC15846567_007
0,28,53,6686,0,10,0,0,1,5,33,0,ZINC49177653_001
0,21,40,6415,0,12,0,0,0,0,23,0,ZINC51579757_004
0,27,51,6833,3,12,0,0,1,8,14,0,ZINC35340319_007
0,29,49,7828,1,11,0,0,1,6,30,0,ZINC66089539_005
0,27,53,6738,1,12,0,8,0,0,36,2,ZINC48842027_001
0,19,41,6470,1,8,0,0,0,0,24,0,ZINC49322609_001
0,24,30,7318,0,8,0,0,0,10,22,0,ZINC42910944_004
0,25,46,7091,0,15,0,0,1,0,44,0,ZINC04659149_002
0,31,28,6401,1,4,0,15,1,7,14,0,ZINC40487020_006
0,38,74,9109,1,14,0,20,1,24,46,0,ZINC21163458_004
0,14,41,5997,0,5,0,3,0,0,26,0,ZINC53341861_003
1,16,56,7266,1,9,0,0,1,13,22,0,ZINC66984929_007
0,22,41,6660,0,6,0,0,0,14,8,0,ZINC55109038_008
0,28,35,5002,0,2,0,0,1,23,61,0,ZINC49164736_009
0,28,33,7155,2,11,0,0,1,6,25,0,CHEMBL127469_007
0,28,45,6847,1,6,0,3,0,6,43,0,ZINC50393294_006
0,19,34,5583,1,6,0,0,1,5,21,1,ZINC44559748_004
0,31,58,7871,1,16,0,0,0,0,49,0,ZINC57898428_007
0,38,51,7129,2,12,0,0,0,2,38,0,ZINC40347796_009
0,23,39,6580,0,15,0,2,1,0,26,0,ZINC38014374_000
0,15,42,6582,0,7,0,0,0,5,40,0,ZINC32112547_004
0,21,41,6801,0,5,0,0,1,16,25,0,ZINC12932042_009
0,30,48,5877,3,13,0,0,0,6,37,0,ZINC42500929_003
0,33,65,6994,1,15,0,0,0,0,47,1,ZINC67381182_003
0,22,50,7527,2,12,0,0,2,4,18,0,ZINC66187977_002
0,41,60,8544,2,18,0,0,0,10,48,3,ZINC61104238_004
0,25,44,7969,0,10,0,0,1,16,52,0,ZINC14650825_003
0,35,50,6175,0,13,0,0,0,5,26,0,ZINC20254692_004
0,60,71,10021,2,24,0,2,1,4,40,0,ZINC22625375_009
0,28,46,7651,1,10,0,0,1,3,28,0,ZINC62639885_001
0,20,42,6640,3,5,0,5,1,8,43,0,ZINC19878595_007
0,42,52,8616,1,13,0,0,0,22,48,0,ZINC05047279_004
0,22,40,6771,2,14,0,0,0,0,25,0,ZINC44786228_002
0,36,52,7313,5,11,0,0,0,0,33,0,ZINC43410643_003
0,27,56,6922,2,9,0,0,0,0,35,2,ZINC48831962_001
0,27,45,7357,2,11,0,0,0,1,28,0,ZINC60417045_009
0,17,33,6439,1,8,0,0,1,5,32,0,ZINC50660802_002
0,12,31,4683,1,5,0,0,1,0,28,0,ZINC37227107_002
0,27,42,7868,2,8,0,6,1,0,49,0,ZINC32771959_001
0,42,51,6711,1,7,0,0,2,14,70,0,ZINC21079283_001
0,30,59,8822,2,18,0,0,0,0,23,2,ZINC65589225_000
0,23,43,5795,2,6,0,0,0,3,34,0,ZINC37926184_005
0,11,28,5844,0,3,0,4,0,13,30,0,ZINC44493016_003
0,27,50,8842,3,12,0,1,0,9,41,0,ZINC62440628_005
0,17,43,6110,3,5,0,0,1,8,29,0,ZINC12394796_007
0,29,59,8129,0,13,0,1,0,16,46,1,ZINC38546915_000
0,18,48,6342,1,6,0,0,1,11,39,0,ZINC37707210_001
0,43,45,8398,5,14,0,0,1,8,19,0,ZINC03402307_002
0,17,35,5494,0,7,0,0,0,0,15,0,ZINC40376720_002
