C.C,C.N,C.O,C.P,C.S,N.C,N.N,N.O,N.P,N.S,O.C,O.N,O.O,O.P,O.S,F.C,F.N,F.O,F.P,F.S,P.C,P.N,P.O,P.P,P.S,S.C,S.N,S.O,S.P,S.S,Cl.C,Cl.N,Cl.O,Cl.P,Cl.S,Br.C,Br.N,Br.O,Br.P,Br.S,I.C,I.N,I.O,I.P,I.S,ligand
5523,0,1115,0,0,1177,0,218,0,0,1177,0,234,0,0,0,0,0,0,0,0,0,0,0,0,60,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_60|cs339-confgen|mol2|60|dock6
5125,0,879,0,0,1064,0,172,0,0,1104,0,181,0,0,0,0,0,0,0,0,0,0,0,0,57,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_54|cs332-confgen|mol2|54|dock1
5065,0,1107,0,0,1059,0,231,0,0,1073,0,236,0,0,0,0,0,0,0,0,0,0,0,0,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_55|cs337-confgen|mol2|55|dock1
5756,0,2053,0,0,1234,0,429,0,0,1233,0,427,0,0,0,0,0,0,0,0,0,0,0,0,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_101|cs335-confgen|mol2|101|dock1
5156,0,1286,0,0,1083,0,263,0,0,1108,0,262,0,0,0,0,0,0,0,0,0,0,0,0,59,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_7|cs340-confgen|mol2|7|dock2
5605,0,1627,0,0,1183,0,336,0,0,1219,0,337,0,0,0,0,0,0,0,0,0,0,0,0,63,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_48|cs335-confgen|mol2|48|dock7
5045,0,1124,0,0,1076,0,246,0,0,1081,0,240,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_78|cs334-confgen|mol2|78|dock3
5033,0,1117,0,0,1071,0,225,0,0,1068,0,230,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_36|cs337-confgen|mol2|36|dock2
5671,0,2034,0,0,1219,0,419,0,0,1228,0,415,0,0,0,0,0,0,0,0,0,0,0,0,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_85|cs335-confgen|mol2|85|dock4
5119,0,892,0,0,1070,0,166,0,0,1074,0,185,0,0,0,0,0,0,0,0,0,0,0,0,61,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_18|cs339-confgen|mol2|18|dock6
5367,0,965,0,0,1134,0,194,0,0,1121,0,208,0,0,0,0,0,0,0,0,0,0,0,0,63,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_45|cs339-confgen|mol2|45|dock8
5903,0,1736,0,0,1270,0,359,0,0,1254,0,371,0,0,0,0,0,0,0,0,0,0,0,0,67,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_7|cs335-confgen|mol2|7|dock9
5081,0,879,0,0,1031,0,166,0,0,1078,0,174,0,0,0,0,0,0,0,0,0,0,0,0,64,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_35|cs331-confgen|mol2|35|dock3
5127,0,847,0,0,1054,0,162,0,0,1104,0,173,0,0,0,0,0,0,0,0,0,0,0,0,63,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_16|cs332-confgen|mol2|16|dock3
5217,0,1013,0,0,1112,0,218,0,0,1112,0,226,0,0,0,0,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_6|cs338-confgen|mol2|6|dock2
5882,0,2075,0,0,1270,0,441,0,0,1259,0,434,0,0,0,0,0,0,0,0,0,0,0,0,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_95|cs335-confgen|mol2|95|dock1
5018,0,848,0,0,1029,0,153,0,0,1068,0,166,0,0,0,0,0,0,0,0,0,0,0,0,64,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_79|cs332-confgen|mol2|79|dock2
5107,0,822,0,0,1074,0,165,0,0,1085,0,175,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_78|cs331-confgen|mol2|78|dock2
5213,0,1014,0,0,1095,0,222,0,0,1109,0,224,0,0,0,0,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_12|cs338-confgen|mol2|12|dock3
4870,0,826,0,0,996,0,170,0,0,1018,0,187,0,0,0,0,0,0,0,0,0,0,0,0,64,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_47|cs339-confgen|mol2|47|dock3
5919,0,2036,0,0,1253,0,417,0,0,1250,0,430,0,0,0,0,0,0,0,0,0,0,0,0,68,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_25|cs335-confgen|mol2|25|dock5
5232,0,1005,0,0,1110,0,215,0,0,1112,0,223,0,0,0,0,0,0,0,0,0,0,0,0,63,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_6|cs338-confgen|mol2|6|dock1
5220,0,889,0,0,1086,0,177,0,0,1123,0,178,0,0,0,0,0,0,0,0,0,0,0,0,60,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_88|cs331-confgen|mol2|88|dock4
5083,0,1270,0,0,1057,0,258,0,0,1071,0,266,0,0,0,0,0,0,0,0,0,0,0,0,59,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_21|cs340-confgen|mol2|21|dock10
5025,0,1126,0,0,1065,0,236,0,0,1101,0,242,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_76|cs334-confgen|mol2|76|dock3
3640,0,345,0,0,715,0,69,0,0,744,0,67,0,0,0,0,0,0,0,0,0,0,0,0,46,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS336_6|cs336-confgen|mol2|6|dock3
5012,0,1123,0,0,1051,0,241,0,0,1069,0,239,0,0,0,0,0,0,0,0,0,0,0,0,58,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_7|cs337-confgen|mol2|7|dock2
4979,0,839,0,0,1051,0,166,0,0,1069,0,172,0,0,0,0,0,0,0,0,0,0,0,0,57,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_39|cs331-confgen|mol2|39|dock6
5181,0,820,0,0,1073,0,172,0,0,1102,0,176,0,0,0,0,0,0,0,0,0,0,0,0,60,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_56|cs332-confgen|mol2|56|dock7
5936,0,2039,0,0,1290,0,428,0,0,1268,0,425,0,0,0,0,0,0,0,0,0,0,0,0,67,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_90|cs335-confgen|mol2|90|dock10
4991,0,669,0,0,1062,0,146,0,0,1070,0,144,0,0,0,0,0,0,0,0,0,0,0,0,59,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_56|cs331-confgen|mol2|56|dock10
5034,0,823,0,0,1076,0,160,0,0,1088,0,170,0,0,0,0,0,0,0,0,0,0,0,0,59,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_66|cs332-confgen|mol2|66|dock3
5379,0,1085,0,0,1122,0,225,0,0,1132,0,229,0,0,0,0,0,0,0,0,0,0,0,0,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_64|cs339-confgen|mol2|64|dock5
5649,0,1612,0,0,1170,0,335,0,0,1191,0,338,0,0,0,0,0,0,0,0,0,0,0,0,69,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_9|cs335-confgen|mol2|9|dock4
5225,0,1922,0,0,1055,0,396,0,0,1093,0,407,0,0,0,0,0,0,0,0,0,0,0,0,76,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_21|cs335-confgen|mol2|21|dock1
5024,0,1127,0,0,1064,0,233,0,0,1099,0,242,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_66|cs334-confgen|mol2|66|dock1
4996,0,1103,0,0,1045,0,233,0,0,1076,0,233,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_20|cs337-confgen|mol2|20|dock1
5383,0,1008,0,0,1131,0,203,0,0,1128,0,219,0,0,0,0,0,0,0,0,0,0,0,0,62,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_61|cs339-confgen|mol2|61|dock7
5772,0,1675,0,0,1226,0,356,0,0,1250,0,346,0,0,0,0,0,0,0,0,0,0,0,0,67,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_49|cs335-confgen|mol2|49|dock4
5114,0,1119,0,0,1065,0,230,0,0,1086,0,234,0,0,0,0,0,0,0,0,0,0,0,0,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_14|cs334-confgen|mol2|14|dock3
5043,0,834,0,0,1053,0,166,0,0,1096,0,170,0,0,0,0,0,0,0,0,0,0,0,0,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_69|cs331-confgen|mol2|69|dock6
5697,0,2023,0,0,1172,0,418,0,0,1218,0,431,0,0,0,0,0,0,0,0,0,0,0,0,72,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_25|cs335-confgen|mol2|25|dock4
4829,0,848,0,0,960,0,164,0,0,995,0,185,0,0,0,0,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_38|cs339-confgen|mol2|38|dock6
5790,0,1681,0,0,1243,0,358,0,0,1258,0,352,0,0,0,0,0,0,0,0,0,0,0,0,67,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_85|cs335-confgen|mol2|85|dock6
5028,0,863,0,0,1024,0,166,0,0,1071,0,178,0,0,0,0,0,0,0,0,0,0,0,0,63,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_33|cs331-confgen|mol2|33|dock7
5341,0,949,0,0,1147,0,198,0,0,1131,0,204,0,0,0,0,0,0,0,0,0,0,0,0,61,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_72|cs339-confgen|mol2|72|dock5
5781,0,1746,0,0,1217,0,376,0,0,1259,0,389,0,0,0,0,0,0,0,0,0,0,0,0,66,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_68|cs335-confgen|mol2|68|dock5
5054,0,1105,0,0,1071,0,226,0,0,1074,0,232,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_41|cs337-confgen|mol2|41|dock6
5065,0,883,0,0,1076,0,184,0,0,1066,0,182,0,0,0,0,0,0,0,0,0,0,0,0,59,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_32|cs339-confgen|mol2|32|dock7
5042,0,1115,0,0,1044,0,243,0,0,1074,0,244,0,0,0,0,0,0,0,0,0,0,0,0,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_56|cs334-confgen|mol2|56|dock1
5307,0,1048,0,0,1088,0,210,0,0,1149,0,222,0,0,0,0,0,0,0,0,0,0,0,0,63,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_32|cs339-confgen|mol2|32|dock4
4818,0,626,0,0,967,0,141,0,0,1006,0,147,0,0,0,0,0,0,0,0,0,0,0,0,64,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_71|cs332-confgen|mol2|71|dock5
5028,0,1127,0,0,1050,0,234,0,0,1083,0,239,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_25|cs337-confgen|mol2|25|dock3
5029,0,1122,0,0,1075,0,237,0,0,1098,0,239,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_58|cs334-confgen|mol2|58|dock3
5169,0,855,0,0,1069,0,166,0,0,1117,0,180,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_107|cs331-confgen|mol2|107|dock1
5235,0,1006,0,0,1097,0,209,0,0,1123,0,215,0,0,0,0,0,0,0,0,0,0,0,0,65,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_20|cs338-confgen|mol2|20|dock2
4971,0,1101,0,0,1039,0,234,0,0,1072,0,229,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_19|cs337-confgen|mol2|19|dock2
4836,0,645,0,0,972,0,135,0,0,1016,0,140,0,0,0,0,0,0,0,0,0,0,0,0,64,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_6|cs331-confgen|mol2|6|dock1
5166,0,850,0,0,1066,0,165,0,0,1112,0,178,0,0,0,0,0,0,0,0,0,0,0,0,57,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_108|cs331-confgen|mol2|108|dock4
4926,0,1205,0,0,974,0,237,0,0,1000,0,249,0,0,0,0,0,0,0,0,0,0,0,0,65,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_18|cs340-confgen|mol2|18|dock9
5164,0,888,0,0,1065,0,174,0,0,1105,0,184,0,0,0,0,0,0,0,0,0,0,0,0,57,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_73|cs331-confgen|mol2|73|dock5
5500,0,1116,0,0,1152,0,224,0,0,1163,0,226,0,0,0,0,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_17|cs339-confgen|mol2|17|dock1
5384,0,1091,0,0,1125,0,224,0,0,1141,0,228,0,0,0,0,0,0,0,0,0,0,0,0,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_3|cs339-confgen|mol2|3|dock10
4388,0,633,0,0,915,0,126,0,0,923,0,121,0,0,0,0,0,0,0,0,0,0,0,0,50,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS333_1|cs333-confgen|mol2|1|dock10
4444,0,695,0,0,942,0,144,0,0,934,0,142,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS333_3|cs333-confgen|mol2|3|dock5
4866,0,645,0,0,984,0,137,0,0,1010,0,146,0,0,0,0,0,0,0,0,0,0,0,0,65,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_10|cs332-confgen|mol2|10|dock10
5979,0,2037,0,0,1272,0,423,0,0,1278,0,423,0,0,0,0,0,0,0,0,0,0,0,0,70,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_73|cs335-confgen|mol2|73|dock6
4942,0,848,0,0,1061,0,176,0,0,1065,0,184,0,0,0,0,0,0,0,0,0,0,0,0,61,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_63|cs331-confgen|mol2|63|dock9
5609,0,2009,0,0,1186,0,420,0,0,1202,0,419,0,0,0,0,0,0,0,0,0,0,0,0,65,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_67|cs335-confgen|mol2|67|dock4
5071,0,1104,0,0,1063,0,228,0,0,1069,0,238,0,0,0,0,0,0,0,0,0,0,0,0,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_58|cs337-confgen|mol2|58|dock2
5015,0,1121,0,0,1053,0,233,0,0,1063,0,238,0,0,0,0,0,0,0,0,0,0,0,0,58,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_8|cs337-confgen|mol2|8|dock1
4762,0,644,0,0,1021,0,136,0,0,1018,0,138,0,0,0,0,0,0,0,0,0,0,0,0,56,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_61|cs331-confgen|mol2|61|dock10
5663,0,2043,0,0,1219,0,428,0,0,1222,0,423,0,0,0,0,0,0,0,0,0,0,0,0,65,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_103|cs335-confgen|mol2|103|dock2
5129,0,888,0,0,1064,0,177,0,0,1107,0,181,0,0,0,0,0,0,0,0,0,0,0,0,62,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_96|cs331-confgen|mol2|96|dock1
5143,0,839,0,0,1058,0,169,0,0,1095,0,172,0,0,0,0,0,0,0,0,0,0,0,0,62,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_91|cs331-confgen|mol2|91|dock2
5159,0,1279,0,0,1084,0,255,0,0,1082,0,264,0,0,0,0,0,0,0,0,0,0,0,0,59,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_15|cs340-confgen|mol2|15|dock2
5124,0,867,0,0,1073,0,168,0,0,1105,0,177,0,0,0,0,0,0,0,0,0,0,0,0,59,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_48|cs332-confgen|mol2|48|dock4
5618,0,1659,0,0,1212,0,349,0,0,1213,0,349,0,0,0,0,0,0,0,0,0,0,0,0,71,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_48|cs335-confgen|mol2|48|dock1
5150,0,852,0,0,1072,0,165,0,0,1099,0,178,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_96|cs331-confgen|mol2|96|dock5
5106,0,850,0,0,1070,0,167,0,0,1082,0,174,0,0,0,0,0,0,0,0,0,0,0,0,57,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_77|cs331-confgen|mol2|77|dock4
5671,0,1983,0,0,1146,0,410,0,0,1198,0,437,0,0,0,0,0,0,0,0,0,0,0,0,70,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_26|cs335-confgen|mol2|26|dock3
5255,0,1040,0,0,1120,0,217,0,0,1145,0,223,0,0,0,0,0,0,0,0,0,0,0,0,60,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_14|cs338-confgen|mol2|14|dock3
5009,0,1108,0,0,1053,0,237,0,0,1069,0,236,0,0,0,0,0,0,0,0,0,0,0,0,59,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_51|cs334-confgen|mol2|51|dock1
5153,0,854,0,0,1063,0,168,0,0,1113,0,179,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_105|cs331-confgen|mol2|105|dock1
5292,0,939,0,0,1116,0,190,0,0,1109,0,202,0,0,0,0,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_34|cs339-confgen|mol2|34|dock1
5752,0,2049,0,0,1239,0,427,0,0,1237,0,430,0,0,0,0,0,0,0,0,0,0,0,0,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_88|cs335-confgen|mol2|88|dock7
5515,0,1114,0,0,1150,0,220,0,0,1166,0,232,0,0,0,0,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_64|cs339-confgen|mol2|64|dock1
5960,0,2058,0,0,1267,0,426,0,0,1281,0,425,0,0,0,0,0,0,0,0,0,0,0,0,70,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_100|cs335-confgen|mol2|100|dock10
5119,0,873,0,0,1097,0,167,0,0,1092,0,173,0,0,0,0,0,0,0,0,0,0,0,0,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_75|cs331-confgen|mol2|75|dock2
5638,0,2055,0,0,1212,0,413,0,0,1220,0,417,0,0,0,0,0,0,0,0,0,0,0,0,65,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_105|cs335-confgen|mol2|105|dock10
5988,0,2040,0,0,1198,0,418,0,0,1237,0,420,0,0,0,0,0,0,0,0,0,0,0,0,74,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_33|cs335-confgen|mol2|33|dock9
5161,0,850,0,0,1070,0,165,0,0,1113,0,180,0,0,0,0,0,0,0,0,0,0,0,0,57,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_11|cs331-confgen|mol2|11|dock3
5577,0,2039,0,0,1205,0,431,0,0,1212,0,422,0,0,0,0,0,0,0,0,0,0,0,0,65,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_49|cs335-confgen|mol2|49|dock9
5074,0,968,0,0,1049,0,198,0,0,1071,0,200,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_17|cs338-confgen|mol2|17|dock1
4976,0,815,0,0,1055,0,164,0,0,1064,0,167,0,0,0,0,0,0,0,0,0,0,0,0,57,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_28|cs332-confgen|mol2|28|dock7
5372,0,1056,0,0,1124,0,204,0,0,1133,0,220,0,0,0,0,0,0,0,0,0,0,0,0,65,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS338_30|cs338-confgen|mol2|30|dock3
5249,0,860,0,0,1090,0,160,0,0,1129,0,176,0,0,0,0,0,0,0,0,0,0,0,0,61,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_100|cs331-confgen|mol2|100|dock5
5460,0,1014,0,0,1143,0,201,0,0,1167,0,219,0,0,0,0,0,0,0,0,0,0,0,0,64,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_9|cs339-confgen|mol2|9|dock5
5140,0,889,0,0,1071,0,171,0,0,1111,0,185,0,0,0,0,0,0,0,0,0,0,0,0,58,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_43|cs331-confgen|mol2|43|dock1
5608,0,1614,0,0,1172,0,338,0,0,1199,0,343,0,0,0,0,0,0,0,0,0,0,0,0,68,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_100|cs335-confgen|mol2|100|dock7
5111,0,1275,0,0,1075,0,255,0,0,1079,0,262,0,0,0,0,0,0,0,0,0,0,0,0,59,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_16|cs340-confgen|mol2|16|dock3
5720,0,1998,0,0,1144,0,415,0,0,1204,0,434,0,0,0,0,0,0,0,0,0,0,0,0,72,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_26|cs335-confgen|mol2|26|dock9
4931,0,825,0,0,1008,0,158,0,0,1060,0,166,0,0,0,0,0,0,0,0,0,0,0,0,67,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_24|cs332-confgen|mol2|24|dock1
5821,0,1700,0,0,1253,0,357,0,0,1230,0,362,0,0,0,0,0,0,0,0,0,0,0,0,65,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_15|cs335-confgen|mol2|15|dock7
5076,0,863,0,0,1039,0,168,0,0,1066,0,170,0,0,0,0,0,0,0,0,0,0,0,0,63,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS331_23|cs331-confgen|mol2|23|dock2
