C.C,C.N,C.O,C.P,C.S,N.C,N.N,N.O,N.P,N.S,O.C,O.N,O.O,O.P,O.S,F.C,F.N,F.O,F.P,F.S,P.C,P.N,P.O,P.P,P.S,S.C,S.N,S.O,S.P,S.S,Cl.C,Cl.N,Cl.O,Cl.P,Cl.S,Br.C,Br.N,Br.O,Br.P,Br.S,I.C,I.N,I.O,I.P,I.S,ligand
2272,909,940,0,231,591,241,254,0,62,596,240,257,0,61,0,0,0,0,0,0,0,0,0,0,43,16,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63213319_006
2790,1097,175,0,228,688,282,42,0,59,671,276,41,0,59,0,0,0,0,0,0,0,0,0,0,49,21,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC19852963_005
3222,466,432,0,0,869,133,113,0,0,882,134,115,0,0,0,0,0,0,0,0,0,0,0,0,57,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC53043751_008
2783,1165,0,0,219,753,292,0,0,69,749,290,0,0,69,0,0,0,0,0,0,0,0,0,0,51,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40723694_005
4390,663,845,0,204,1153,188,232,0,54,1199,190,237,0,51,0,0,0,0,0,0,0,0,0,0,79,13,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC15529985_006
3210,1156,0,0,0,850,328,0,0,0,855,329,0,0,0,0,0,0,0,0,0,0,0,0,0,62,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL190495_007
2593,462,684,0,222,707,118,177,0,63,699,123,171,0,62,0,0,0,0,0,0,0,0,0,0,46,10,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45665039_003
2206,690,671,0,422,604,176,165,0,105,598,182,157,0,104,0,0,0,0,0,0,0,0,0,0,44,14,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49693030_008
4858,917,691,0,0,1232,243,176,0,0,1243,248,181,0,0,0,0,0,0,0,0,0,0,0,0,88,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20968883_006
3294,443,695,0,0,853,128,176,0,0,878,131,172,0,0,0,0,0,0,0,0,0,0,0,0,59,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC05709221_002
3154,460,715,0,0,817,131,192,0,0,821,127,193,0,0,0,0,0,0,0,0,0,0,0,0,60,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC41802767_003
3597,230,471,0,0,956,65,115,0,0,950,61,108,0,0,0,0,0,0,0,0,0,0,0,0,64,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63002446_009
3626,974,212,0,159,918,224,52,0,32,933,251,50,0,37,0,0,0,0,0,0,0,0,0,0,63,18,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC65696165_004
3202,693,671,0,0,878,171,193,0,0,882,177,196,0,0,0,0,0,0,0,0,0,0,0,0,58,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40573654_004
3830,388,315,0,0,988,101,71,0,0,1001,98,83,0,0,0,0,0,0,0,0,0,0,0,0,70,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67445809_007
3019,668,692,0,242,813,190,197,0,65,806,201,195,0,68,0,0,0,0,0,0,0,0,0,0,55,13,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49147422_006
2816,708,697,0,0,738,189,162,0,0,737,191,162,0,0,0,0,0,0,0,0,0,0,0,0,50,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61213866_009
3882,873,699,0,0,959,232,196,0,0,979,237,196,0,0,0,0,0,0,0,0,0,0,0,0,70,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66726811_009
